tweet_id,favorites,retweets,user_followers,user_favourites,date_time
831262627380748289,12836,2292,6629311,132918,2017-02-13 22:03:49
830956169170665475,8597,1682,6629311,132918,2017-02-13 01:46:03
830583320585068544,72193,18802,6629311,132918,2017-02-12 01:04:29
830173239259324417,0,6374,6629311,132918,2017-02-10 21:54:58
830097400375152640,10618,3360,6629311,132918,2017-02-10 16:53:37
829878982036299777,0,5605,6629311,132918,2017-02-10 02:25:42
829861396166877184,13227,2194,6629311,132918,2017-02-10 01:15:49
829501995190984704,34265,11843,6629311,132918,2017-02-09 01:27:41
829449946868879360,11320,2271,6629311,132918,2017-02-08 22:00:52
829374341691346946,37435,10421,6629312,132918,2017-02-08 17:00:26
829141528400556032,26500,8288,6629312,132918,2017-02-08 01:35:19
829011960981237760,57254,18125,6629312,132918,2017-02-07 17:00:28
828801551087042563,0,3797,6629312,132918,2017-02-07 03:04:22
828770345708580865,27632,6572,6629312,132918,2017-02-07 01:00:22
828708714936930305,39564,12540,6629312,132918,2017-02-06 20:55:28
828650029636317184,10283,1503,6629312,132918,2017-02-06 17:02:17
828409743546925057,6788,1283,6629312,132918,2017-02-06 01:07:28
828408677031882754,8264,1431,6629312,132918,2017-02-06 01:03:14
828381636999917570,13652,2486,6629312,132918,2017-02-05 23:15:47
828376505180889089,7996,1190,6629312,132918,2017-02-05 22:55:23
828372645993398273,13544,3271,6629313,132918,2017-02-05 22:40:03
828361771580813312,2370,191,6629313,132918,2017-02-05 21:56:51
828046555563323392,12734,3193,6629313,132918,2017-02-05 01:04:17
828011680017821696,11201,2395,6629313,132918,2017-02-04 22:45:42
827933404142436356,21809,5853,6629313,132918,2017-02-04 17:34:40
827653905312006145,16711,3353,6629313,132918,2017-02-03 23:04:02
827600520311402496,8023,1055,6629313,132918,2017-02-03 19:31:54
827324948884643840,17193,3424,6629313,132918,2017-02-03 01:16:53
827199976799354881,11462,2509,6629313,132918,2017-02-02 17:00:17
826958653328592898,23378,5605,6629313,132918,2017-02-02 01:01:21
826848821049180160,39576,11511,6629312,132918,2017-02-01 17:44:55
826615380357632002,0,4410,6629312,132918,2017-02-01 02:17:19
826598799820865537,5544,286,6629312,132918,2017-02-01 01:11:25
826598365270007810,10916,2630,6629313,132918,2017-02-01 01:09:42
826476773533745153,19949,4698,6629313,132918,2017-01-31 17:06:32
826240494070030336,14366,2897,6629314,132918,2017-01-31 01:27:39
826204788643753985,5278,1053,6629314,132918,2017-01-30 23:05:46
826115272272650244,16992,3508,6629315,132918,2017-01-30 17:10:04
825876512159186944,11339,2096,6629315,132918,2017-01-30 01:21:19
825829644528148480,13796,2790,6629315,132918,2017-01-29 22:15:05
825535076884762624,56375,19275,6629315,132918,2017-01-29 02:44:34
825147591692263424,19856,5129,6629315,132918,2017-01-28 01:04:51
825120256414846976,0,1444,6629315,132918,2017-01-27 23:16:13
825026590719483904,6901,1444,6629316,132918,2017-01-27 17:04:02
824796380199809024,0,6152,6629316,132918,2017-01-27 01:49:15
824775126675836928,16245,3956,6629317,132918,2017-01-27 00:24:48
824663926340194305,10925,1947,6629317,132918,2017-01-26 17:02:56
824325613288833024,12784,11622,6629317,132918,2017-01-25 18:38:36
824297048279236611,16308,4337,6629317,132918,2017-01-25 16:45:05
824025158776213504,5177,665,6629317,132918,2017-01-24 22:44:42
823939628516474880,11559,3041,6629317,132918,2017-01-24 17:04:50
